# timestamps [seconds],pts
750449.949108,604775
750449.965339,605839
750449.985079,607132
750450.000941,608172
750450.017938,609286
750450.033107,610280
750450.049077,611327
750450.069253,612649
750450.088394,613903
750450.105703,615038
750450.123427,616199
750450.133337,616849
750450.149553,617911
750450.169361,619209
750450.185107,620241
750450.201905,621342
750450.217007,622332
750450.233482,623412
750450.253157,624701
750450.269626,625780
750450.286041,626856
750450.301105,627843
750450.317469,628916
750450.339936,630388
750450.353062,631248
750450.369094,632299
750450.384993,633341
750450.401940,634451
750450.417055,635442
750450.437135,636758
750450.453080,637803
750450.469823,638900
750450.485053,639898
750450.501182,640955
750450.520876,642246
750450.539770,643484
750450.553146,644361
750450.569213,645414
750450.589318,646731
750450.605111,647766
750450.621814,648861
750450.637027,649858
750450.653045,650908
750450.669562,651990
750450.685032,653004
750450.705015,654313
750450.723440,655521
750450.737180,656421
750450.753705,657504
750450.773915,658829
750450.790962,659946
750450.815557,661558
750450.832766,662686
750450.849535,663785
750450.857637,664316
750450.873124,665330
750450.889153,666381
750450.905776,667470
750450.923330,668621
750450.937056,669520
750450.957617,670868
750450.974458,671971
750450.992359,673145
750451.005060,673977
750451.021388,675047
750451.042610,676438
750451.062715,677755
750451.081820,679007
750451.097970,680066
750451.104998,680526
750451.121148,681585
750451.141456,682916
750451.159974,684129
750451.176028,685181
750451.189115,686039
750451.205314,687101
750451.225798,688443
750451.242076,689510
750451.257132,690496
750451.273510,691570
750451.289924,692645
750451.304938,693629
750451.325392,694970
750451.344421,696217
750451.363455,697464
750451.382689,698725
750451.400736,699908
750451.417756,701023
750451.425395,701524
750451.441499,702579
750451.457573,703632
750451.473080,704649
750451.493273,705972
750451.509242,707018
750451.525387,708077
750451.541401,709126
750451.561608,710450
750451.581518,711755
750451.600380,712991
750451.619894,714270
750451.636341,715348
750451.654397,716531
750451.660393,716924
750451.677193,718025
750451.694947,719189
750451.710309,720195
750451.726713,721270
750451.740985,722206
750451.761214,723531
750451.777498,724599
750451.793514,725648
750451.809198,726676
750451.825677,727756
750451.845258,729039
750451.862319,730157
750451.879393,731276
750451.893266,732185
750451.909414,733244
750451.926274,734349
750451.945461,735606
750451.966339,736974
750451.984752,738181
750451.993212,738735
750452.009586,739809
750452.029436,741109
750452.046590,742234
750452.063600,743348
750452.081758,744538
750452.099757,745718
750452.113080,746591
750452.130195,747713
750452.145197,748696
750452.173228,750533
750452.449630,768647
750452.542037,774703
750452.566666,776317
750452.585541,777554
750452.601982,778631
750452.613726,779401
750452.629271,780420
750452.649224,781727
750452.669840,783078
750452.688043,784271
750452.697677,784903
750452.713726,785954
750452.733478,787249
750452.750068,788336
750452.767636,789487
750452.783507,790527
750452.797138,791421
750452.813399,792486
750452.833116,793779
750452.851474,794982
750452.865171,795879
750452.881214,796931
750452.899589,798135
750452.917513,799310
750452.936361,800545
750452.957520,801931
750452.975280,803095
750452.982853,803592
750453.001315,804801
750453.017781,805881
750453.034941,807005
750453.051027,808059
750453.065096,808981
750453.081279,810042
750453.101232,811350
750453.118329,812470
750453.133994,813497
750453.149199,814493
750453.165333,815550
750453.185181,816851
750453.203267,818036
750453.217173,818948
750453.234546,820086
750453.251357,821188
750453.269213,822358
750453.285349,823416
750453.301236,824457
750453.317073,825495
750453.333268,826556
750453.353090,827855
750453.372510,829128
750453.392333,830427
750453.410334,831607
750453.429791,832882
750453.436424,833316
750453.453589,834441
750453.472713,835695
750453.493881,837082
750453.530252,839465
750453.555379,841112
750453.574251,842349
750453.594348,843666
750453.613919,844948
750453.634919,846325
750453.652798,847496
750453.672594,848794
750453.689187,849881
750453.706139,850992
750453.721225,851981
750453.737327,853036
750453.753824,854117
750453.773468,855405
750453.791798,856606
750453.811487,857896
750453.830501,859142
750453.848258,860306
750453.865874,861460
750453.872018,861863
750453.889630,863017
750453.908278,864239
750453.926026,865402
750453.945116,866653
750453.963096,867832
750453.973196,868494
750453.989470,869560
750454.007338,870731
750454.021225,871641
750454.037880,872733
750454.053204,873737
750454.073263,875052
750454.092384,876305
750454.109916,877454
750454.127901,878632
750454.146160,879829
750454.163114,880940
750454.182102,882184
750454.201904,883482
750454.219911,884662
750454.226863,885118
750454.242075,886115
750454.258234,887174
750454.277804,888456
750454.293853,889508
750454.311498,890664
750454.321291,891306
750454.341150,892608
750454.359524,893812
750454.376449,894921
750454.389222,895758
750454.406370,896882
750454.425297,898122
750454.444683,899393
750454.461618,900502
750454.480624,901748
750454.499347,902975
750454.516779,904117
750454.525221,904671
750454.541491,905737
750454.557649,906796
750454.574485,907899
750454.592572,909085
750454.609532,910196
750454.626894,911334
750454.641536,912293
750454.658252,913389
750454.673168,914366
750454.693320,915687
750454.710039,916783
750454.727766,917944
750454.746245,919155
750454.762754,920237
750454.779707,921348
750454.793324,922241
750454.812181,923477
750454.831883,924768
750454.850839,926010
750454.892763,928758
750455.667208,979511
750455.878716,993372
750455.907398,995252
750455.926025,996472
750455.955624,998412
750455.975980,999746
750455.983994,1000271
750455.997378,1001148
750456.017220,1002449
750456.036604,1003719
750456.055207,1004938
750456.072010,1006039
750456.081330,1006650
750456.098912,1007802
750456.121406,1009277
750456.139160,1010440
750456.156009,1011544
750456.172692,1012638
750456.181194,1013195
750456.201167,1014504
750456.268675,1018928
750456.304964,1021306
750456.323886,1022546
750456.344362,1023888
750456.362674,1025088
750456.380182,1026236
750456.397832,1027392
750456.417687,1028693
750456.435513,1029862
750456.454692,1031119
750456.469156,1032066
750456.485351,1033128
750456.501248,1034170
750456.517427,1035230
750456.534799,1036368
750456.553227,1037576
750456.570106,1038682
750456.585280,1039677
750456.602861,1040829
750456.617135,1041764
750456.637355,1043089
750456.654811,1044233
750456.673041,1045428
750456.685203,1046225
750456.701334,1047282
750456.719223,1048455
750456.737203,1049633
750456.754678,1050778
750456.769215,1051731
750456.785577,1052803
750456.801246,1053830
750456.821311,1055145
750456.838774,1056289
750456.855736,1057401
750456.869308,1058290
750456.885276,1059337
750456.905280,1060648
750456.921337,1061700
750456.937425,1062754
750456.958612,1064143
750456.978743,1065462
750457.856868,1123010
750458.068991,1136912
750458.097568,1138784
750458.116949,1140055
750458.133966,1141170
750458.150917,1142281
750458.170003,1143531
750458.188018,1144712
750458.206224,1145905
750458.224196,1147083
750458.241809,1148237
750458.260234,1149445
750458.279227,1150689
750458.297731,1151902
750458.316701,1153145
750458.335848,1154400
750458.353051,1155527
750458.372386,1156795
750458.390087,1157955
750458.407966,1159126
750458.425582,1160281
750458.443208,1161436
750458.449612,1161856
750458.464652,1162841
750458.482845,1164034
750458.498719,1165074
750458.516798,1166259
750458.534297,1167405
750458.553539,1168666
750458.572926,1169937
750458.591460,1171152
750458.610241,1172382
750458.629169,1173623
750458.647777,1174842
750458.668483,1176199
750458.687746,1177462
750458.704159,1178537
750458.723990,1179837
750458.744896,1181207
750458.763155,1182404
750458.781296,1183593
750458.802297,1184969
750458.821569,1186232
750458.840377,1187464
750458.858336,1188641
750458.876588,1189837
750458.895657,1191087
750458.913960,1192287
750458.931907,1193463
750458.949586,1194621
750458.968505,1195861
750458.986878,1197065
750459.005693,1198298
750459.024113,1199506
750459.043840,1200798
750459.063069,1202059
750459.080239,1203184
750459.096793,1204269
750459.114340,1205419
750459.133362,1206665
750459.150396,1207782
750459.166851,1208860
750459.185605,1210089
750459.204545,1211330
750459.222936,1212535
750459.241022,1213721
750459.258161,1214844
750459.275236,1215963
750459.293036,1217129
750459.301267,1217669
750459.317488,1218732
750459.334162,1219825
750459.352456,1221024
750459.369756,1222157
750459.381328,1222916
750459.401319,1224226
750459.421408,1225542
750459.433414,1226329
750459.449709,1227397
750459.465473,1228430
750459.485283,1229728
750459.501973,1230822
750459.517264,1231824
750459.533566,1232893
750459.549316,1233925
750459.569415,1235242
750459.586565,1236366
750459.603802,1237495
750459.620993,1238622
750459.633393,1239435
750459.653671,1240764
750459.670601,1241873
750459.685297,1242836
750459.701380,1243890
750459.717998,1244979
750459.733539,1245998
750459.753510,1247307
750459.774952,1248712
750459.792566,1249866
750459.801385,1250444
750459.817332,1251489
750459.837320,1252799
750459.855665,1254001
750459.872732,1255120
750459.885405,1255950
750459.901683,1257017
750459.921441,1258312
750459.939082,1259468
750459.955672,1260555
750459.974230,1261771
750459.993865,1263058
750460.014340,1264400
750460.033753,1265672
750460.051395,1266828
750460.068089,1267923
750460.073890,1268303
750460.088386,1269253
750460.105504,1270375
750460.127146,1271793
750460.147133,1273103
750460.165673,1274318
750460.172355,1274756
750460.189596,1275885
750460.207269,1277044
750460.224315,1278161
750460.246467,1279613
750460.264327,1280783
750460.282645,1281983
750460.301941,1283248
750460.353068,1286599
750460.378739,1288281
750460.398075,1289548
750460.414339,1290614
750460.431116,1291713
750460.437917,1292159
750460.457361,1293433
750460.475537,1294625
750460.489290,1295526
750460.505742,1296604
