# timestamps [seconds],pts
753225.305659,1128385
753225.329063,1129919
753225.351688,1131401
753225.373041,1132801
753225.391731,1134026
753225.412182,1135366
753225.432922,1136725
753225.450987,1137909
753225.470007,1139155
753225.490032,1140468
753225.511576,1141880
753225.532475,1143249
753225.555250,1144742
753225.573458,1145935
753225.594415,1147308
753225.615580,1148696
753225.636637,1150076
753225.657517,1151444
753225.684322,1153201
753225.703960,1154488
753225.725350,1155889
753225.745218,1157191
753225.766239,1158569
753225.787629,1159971
753225.807817,1161294
753225.830429,1162776
753225.855141,1164395
753225.878624,1165934
753225.901705,1167447
753225.923735,1168890
753225.946001,1170350
753225.968482,1171823
753225.991658,1173342
753226.013015,1174741
753226.036776,1176299
753226.057073,1177629
753226.081838,1179252
753226.106400,1180861
753226.129609,1182382
753226.152010,1183850
753226.174226,1185306
753226.198531,1186899
753226.221619,1188412
753226.248211,1190155
753226.286498,1192664
753226.313366,1194425
753226.335593,1195882
753226.358939,1197412
753226.380370,1198816
753226.402721,1200281
753226.422922,1201605
753226.446967,1203180
753226.470400,1204716
753226.490879,1206058
753226.512129,1207451
753226.534947,1208946
753226.555065,1210265
753226.578657,1211811
753226.601654,1213318
753226.622459,1214681
753226.642093,1215968
753226.665644,1217511
753226.688262,1218994
753226.712050,1220553
753226.732843,1221915
753226.753353,1223259
753226.775024,1224680
753226.801220,1226396
753226.823405,1227850
753226.845844,1229321
753226.870287,1230923
753226.896389,1232633
753226.919565,1234152
753226.942480,1235654
753226.963917,1237059
753226.984109,1238382
753227.006022,1239818
753227.030491,1241422
753227.052967,1242895
753227.075668,1244382
753227.100457,1246007
753227.124639,1247592
753227.145590,1248965
753227.167808,1250421
753227.192035,1252009
753227.214175,1253459
753227.237667,1254999
753227.258765,1256382
753227.281687,1257884
753227.304559,1259383
753227.327652,1260896
753227.350961,1262424
753227.371296,1263756
753227.391498,1265080
753227.412659,1266467
753227.439651,1268236
753227.460362,1269593
753227.481314,1270966
753227.503323,1272409
753227.538007,1274682
753227.567420,1276609
753227.586910,1277887
753227.610847,1279455
753227.633218,1280921
753227.657110,1282487
753227.679661,1283965
753227.704619,1285601
753227.725477,1286968
753227.747122,1288386
753227.768099,1289761
753227.789386,1291156
753227.812480,1292669
753227.834998,1294145
753227.855296,1295475
753227.878840,1297018
753227.901335,1298492
753227.920616,1299756
753227.942958,1301220
753227.965751,1302714
753227.985066,1303980
753228.007516,1305451
753228.030741,1306973
753228.053520,1308466
753228.076296,1309959
753228.097346,1311338
753228.118148,1312701
753228.140727,1314181
753228.161435,1315538
753228.184769,1317067
753228.206566,1318496
753228.228334,1319922
753228.250832,1321397
753228.270805,1322706
753228.300138,1324628
753228.321213,1326009
753228.345408,1327595
753228.367215,1329024
753228.389976,1330516
753228.414136,1332099
753228.435768,1333517
753228.456445,1334872
753228.480305,1336435
753228.503525,1337957
753228.524043,1339302
753228.545671,1340719
753228.568343,1342205
753228.589235,1343574
753228.611878,1345058
753228.635895,1346632
753228.660508,1348245
753228.681124,1349596
753228.701761,1350948
753228.722765,1352325
753228.741243,1353536
753228.764893,1355086
753228.785540,1356439
753228.805961,1357777
753228.829746,1359336
753228.851157,1360739
753228.872704,1362151
753228.894994,1363612
753228.920393,1365276
753228.944323,1366845
753228.968894,1368455
753229.005201,1370834
753229.032380,1372616
753229.054832,1374087
753229.066304,1374839
753229.082893,1375926
753229.099078,1376987
753229.114933,1378026
753229.134422,1379303
753229.154530,1380621
753229.166409,1381399
753229.183203,1382500
753229.203245,1383813
753229.218401,1384806
753229.235728,1385942
753229.255749,1387254
753229.266419,1387953
753229.282884,1389032
753229.298410,1390050
753229.318465,1391364
753229.341674,1392885
753229.363875,1394340
753229.385067,1395729
753229.408812,1397285
753229.434493,1398968
753229.455509,1400345
753229.467243,1401114
753229.487928,1402470
753229.511866,1404039
753229.523077,1404773
753229.534408,1405516
753229.551607,1406643
753229.573266,1408062
753229.597119,1409626
753229.618713,1411041
753229.639634,1412412
753229.665598,1414113
753229.688168,1415593
753229.713631,1417261
753229.734924,1418657
753229.757629,1420145
753229.783402,1421834
753229.802973,1423116
753229.818646,1424143
753229.838428,1425440
753229.861461,1426949
753229.871585,1427613
753229.886522,1428592
753229.906475,1429899
753229.930730,1431489
753229.941046,1432165
753229.956978,1433209
753229.970785,1434114
753229.986896,1435170
753230.002452,1436189
753230.022398,1437496
753230.046630,1439084
753230.064618,1440263
753230.072846,1440802
753230.086405,1441691
753230.106365,1442999
753230.127237,1444367
753230.149697,1445839
753230.170831,1447224
753230.192408,1448638
753230.213121,1449995
753230.235952,1451492
753230.263818,1453318
753230.289227,1454983
753230.300534,1455724
753230.307612,1456188
753230.323536,1457231
753230.372717,1460455
753230.413449,1463124
753230.436619,1464642
753230.457325,1465999
753230.479969,1467483
753230.504500,1469091
753230.528201,1470644
753230.541041,1471486
753230.558872,1472654
753230.574668,1473689
753230.592312,1474846
753230.612766,1476186
753230.636128,1477717
753230.660054,1479285
753230.674462,1480229
753230.690932,1481309
753230.706454,1482326
753230.726212,1483621
753230.750097,1485186
753230.772151,1486631
753230.798105,1488332
753230.820108,1489774
753230.830418,1490450
753230.845845,1491461
753230.867413,1492874
753230.876992,1493502
753230.891328,1494442
753230.910519,1495699
753230.930086,1496982
753230.942413,1497790
753230.959077,1498882
753230.974501,1499892
753230.994272,1501188
753231.010624,1502260
753231.030696,1503575
753231.051683,1504951
753231.060968,1505559
753231.074767,1506463
753231.095203,1507803
753231.117267,1509249
753231.137193,1510554
753231.147749,1511246
753231.164896,1512370
753231.186604,1513793
753231.208032,1515197
753231.232618,1516808
753231.242430,1517451
753231.262561,1518770
753231.287165,1520383
753231.298566,1521130
753231.310736,1521928
753231.329021,1523126
753231.352330,1524653
753231.374936,1526135
753231.384499,1526762
753231.400222,1527792
753231.419143,1529032
753231.436170,1530148
753231.446305,1530812
753231.463408,1531933
753231.478509,1532923
753231.498173,1534211
753231.518831,1535565
753231.538006,1536822
753231.546964,1537409
753231.563735,1538508
753231.578589,1539481
753231.595121,1540565
753231.614551,1541838
753231.634774,1543163
753231.646587,1543938
753231.662910,1545007
753231.685005,1546455
753231.734796,1549718
753231.769508,1551993
753231.791439,1553430
753231.812293,1554797
753231.835430,1556313
753231.846642,1557048
753231.863249,1558137
753231.882708,1559412
753231.899918,1560540
753231.914768,1561513
753231.931570,1562614
753231.951897,1563946
753231.973138,1565338
753231.993255,1566656
753232.004364,1567384
753232.021748,1568524
753232.032610,1569236
753232.048440,1570273
753232.066670,1571468
753232.087731,1572848
753232.109472,1574273
753232.131541,1575719
753232.155159,1577267
753232.176487,1578665
753232.185248,1579239
753232.198607,1580114
753232.219210,1581464
753232.237247,1582646
