# timestamps [seconds],pts
753914.197709,1654816
753914.220019,1656278
753914.244079,1657855
753914.269248,1659504
753914.292317,1661016
753914.316748,1662617
753914.340437,1664170
753914.364289,1665733
753914.389613,1667392
753914.416321,1669143
753914.442919,1670886
753914.465801,1672385
753914.487089,1673780
753914.511801,1675400
753914.534321,1676876
753914.556970,1678360
753914.579902,1679863
753914.602376,1681336
753914.622310,1682642
753914.645838,1684184
753914.682855,1686610
753914.713039,1688588
753914.736808,1690146
753914.758860,1691591
753914.783796,1693225
753914.805829,1694669
753914.828006,1696122
753914.853273,1697778
753914.873336,1699093
753914.894423,1700475
753914.919998,1702151
753914.940804,1703515
753914.959762,1704757
753914.982154,1706224
753915.004899,1707715
753915.027668,1709207
753915.053764,1710917
753915.077809,1712493
753915.096830,1713740
753915.115713,1714977
753915.143955,1716828
753915.165379,1718232
753915.188539,1719750
753915.212030,1721289
753915.233815,1722717
753915.254709,1724086
753915.280025,1725745
753915.302264,1727203
753915.324526,1728662
753915.348092,1730206
753915.372428,1731801
753915.393742,1733198
753915.414545,1734561
753915.438139,1736107
753915.464751,1737851
753915.488322,1739396
753915.514612,1741119
753915.539708,1742764
753915.563756,1744340
753915.587725,1745911
753915.610582,1747408
753915.636385,1749099
753915.658162,1750527
753915.680033,1751960
753915.701695,1753380
753915.725852,1754963
753915.747150,1756358
753915.771537,1757957
753915.795355,1759518
753915.820105,1761140
753915.843032,1762642
753915.866245,1764163
753915.891744,1765834
753915.915920,1767419
753915.942008,1769128
753915.963719,1770551
753915.989160,1772219
753916.040905,1775610
753916.076733,1777958
753916.100788,1779534
753916.123630,1781031
753916.146349,1782520
753916.170194,1784083
753916.192215,1785526
753916.212503,1786855
753916.234030,1788266
753916.261305,1790054
753916.282509,1791443
753916.302136,1792729
753916.325204,1794241
753916.349029,1795803
753916.371050,1797246
753916.393700,1798730
753916.419148,1800398
753916.442273,1801913
753916.465245,1803419
753916.488576,1804948
753916.512364,1806507
753916.537852,1808177
753916.563857,1809881
753916.592979,1811790
753916.616663,1813342
753916.642740,1815051
753916.666853,1816631
753916.692179,1818291
753916.714404,1819747
753916.741492,1821523
753916.765458,1823093
753916.788431,1824599
753916.816161,1826416
753916.840332,1828000
753916.865478,1829648
753916.889068,1831194
753916.916174,1832970
753916.942893,1834721
753916.965475,1836201
753916.987998,1837677
753917.012918,1839311
753917.037591,1840928
753917.062572,1842565
753917.085939,1844096
753917.109257,1845624
753917.119582,1846301
753917.149841,1848284
753917.180072,1850265
753917.199942,1851567
753917.222794,1853065
753917.247976,1854715
753917.268126,1856036
753917.292172,1857611
753917.317084,1859244
753917.341031,1860813
753917.365667,1862428
753917.390754,1864072
753917.411978,1865463
753917.440712,1867346
753917.463848,1868862
753917.484996,1870248
753917.508275,1871774
753917.531547,1873299
753917.560940,1875225
753917.585159,1876812
